label,Genefamily,Value
Eublepharis macularius,OG0000073,increased
69,OG0000073,none
Sphenodon punctatus,OG0000073,decreased
75,OG0000073,decreased
Sus scrofa,OG0000073,increased
17,OG0000073,none
Balaenoptera musculus,OG0000073,increased
26,OG0000073,increased
Ceratotherium simum,OG0000073,none
37,OG0000073,none
Desmodus rotundus,OG0000073,decreased
46,OG0000073,none
Gorilla gorilla,OG0000073,decreased
24,OG0000073,none
Tupaia chinensis,OG0000073,none
36,OG0000073,none
64,OG0000073,decreased
Nannosplalax galili,OG0000073,increased
Elephas maximus,OG0000073,none
71,OG0000073,decreased
47,OG0000073,decreased
Choloepus didactylus,OG0000073,decreased
72,OG0000073,decreased
Sarcophilus harrisi,OG0000073,decreased
Ornithorhynchus anatinus,OG0000073,decreased
MRCA,OG0000073,none
Rana temporaria,OG0000073,increased
20,OG0000073,none
Nanorana parkeri,OG0000073,decreased
32,OG0000073,increased
Bufo bufo,OG0000073,increased
44,OG0000073,none
Leptobrachium leishanense,OG0000073,increased
33,OG0000073,none
Spea bombifrons,OG0000073,decreased
52,OG0000073,none
Xenopus Tropicalis,OG0000073,decreased
45,OG0000073,decreased
62,OG0000073,increased
Xenopus Laevis,OG0000073,increased
70,OG0000073,increased
Bombina bombina,OG0000073,decreased
Pleurodeles waltl,OG0000073,increased
74,OG0000073,increased
Microcaecilia unicolor,OG0000073,increased
56,OG0000073,none
Geotrypetes seraphini,OG0000073,decreased
66,OG0000073,none
Rhinatrema bivittatum,OG0000073,increased
Aquila chrysaetos,OG0000087,increased
3,OG0000087,none
Taeniopygia guttata,OG0000087,none
7,OG0000087,none
Nipponia nippon,OG0000087,decreased
11,OG0000087,none
Rissa tridactyla,OG0000087,increased
19,OG0000087,none
Cuculus canorus,OG0000087,increased
10,OG0000087,none
29,OG0000087,none
Apus apus,OG0000087,decreased
41,OG0000087,none
Columbalivia,OG0000087,decreased
Numida meleagris,OG0000087,increased
48,OG0000087,decreased
Dromaius novaehollandiae,OG0000087,none
58,OG0000087,none
Alligator mississippiensis,OG0000087,none
68,OG0000087,none
Gopherus evgoodei,OG0000087,none
Varanus komodoensis,OG0000087,decreased
43,OG0000087,none
73,OG0000087,none
Pogona vitticeps,OG0000087,increased
51,OG0000087,none
Pseudonaja textilis,OG0000087,increased
61,OG0000087,none
Eublepharis macularius,OG0000087,increased
69,OG0000087,none
Sphenodon punctatus,OG0000087,decreased
75,OG0000087,decreased
Sus scrofa,OG0000087,increased
17,OG0000087,none
Balaenoptera musculus,OG0000087,decreased
26,OG0000087,none
Ceratotherium simum,OG0000087,increased
37,OG0000087,none
Desmodus rotundus,OG0000087,decreased
46,OG0000087,none
Gorilla gorilla,OG0000087,decreased
24,OG0000087,none
Tupaia chinensis,OG0000087,none
36,OG0000087,none
64,OG0000087,none
Nannosplalax galili,OG0000087,none
Elephas maximus,OG0000087,none
71,OG0000087,none
47,OG0000087,decreased
Choloepus didactylus,OG0000087,none
72,OG0000087,decreased
Sarcophilus harrisi,OG0000087,decreased
Ornithorhynchus anatinus,OG0000087,decreased
MRCA,OG0000087,none
Rana temporaria,OG0000087,increased
20,OG0000087,increased
Nanorana parkeri,OG0000087,none
32,OG0000087,increased
Bufo bufo,OG0000087,increased
44,OG0000087,none
Leptobrachium leishanense,OG0000087,decreased
33,OG0000087,none
Spea bombifrons,OG0000087,increased
52,OG0000087,none
Xenopus Tropicalis,OG0000087,decreased
45,OG0000087,decreased
62,OG0000087,increased
Xenopus Laevis,OG0000087,increased
70,OG0000087,increased
Bombina bombina,OG0000087,increased
Pleurodeles waltl,OG0000087,increased
74,OG0000087,increased
Microcaecilia unicolor,OG0000087,increased
56,OG0000087,none
Geotrypetes seraphini,OG0000087,none
66,OG0000087,none
Rhinatrema bivittatum,OG0000087,none
Aquila chrysaetos,OG0000089,increased
3,OG0000089,none
Taeniopygia guttata,OG0000089,decreased
7,OG0000089,none
Nipponia nippon,OG0000089,none
11,OG0000089,none
Rissa tridactyla,OG0000089,increased
19,OG0000089,none
Cuculus canorus,OG0000089,decreased
10,OG0000089,none
29,OG0000089,none
Apus apus,OG0000089,none
41,OG0000089,none
Columbalivia,OG0000089,increased
Numida meleagris,OG0000089,none
48,OG0000089,decreased
Dromaius novaehollandiae,OG0000089,none
58,OG0000089,none
Alligator mississippiensis,OG0000089,increased
68,OG0000089,none
Gopherus evgoodei,OG0000089,increased
Varanus komodoensis,OG0000089,decreased
43,OG0000089,none
73,OG0000089,none
Pogona vitticeps,OG0000089,increased
51,OG0000089,none
Pseudonaja textilis,OG0000089,increased
61,OG0000089,none
Eublepharis macularius,OG0000089,increased
69,OG0000089,none
Sphenodon punctatus,OG0000089,decreased
75,OG0000089,decreased
Sus scrofa,OG0000089,none
17,OG0000089,none
Balaenoptera musculus,OG0000089,increased
26,OG0000089,none
Ceratotherium simum,OG0000089,decreased
37,OG0000089,none
Desmodus rotundus,OG0000089,decreased
46,OG0000089,none
Gorilla gorilla,OG0000089,none
24,OG0000089,none
Tupaia chinensis,OG0000089,increased
36,OG0000089,none
64,OG0000089,none
Nannosplalax galili,OG0000089,none
Elephas maximus,OG0000089,none
71,OG0000089,increased
47,OG0000089,none
Choloepus didactylus,OG0000089,decreased
72,OG0000089,decreased
Sarcophilus harrisi,OG0000089,none
Ornithorhynchus anatinus,OG0000089,decreased
MRCA,OG0000089,none
Rana temporaria,OG0000089,increased
20,OG0000089,none
Nanorana parkeri,OG0000089,decreased
32,OG0000089,increased
Bufo bufo,OG0000089,increased
44,OG0000089,none
Leptobrachium leishanense,OG0000089,decreased
33,OG0000089,decreased
Spea bombifrons,OG0000089,none
52,OG0000089,none
Xenopus Tropicalis,OG0000089,decreased
45,OG0000089,decreased
62,OG0000089,none
Xenopus Laevis,OG0000089,increased
70,OG0000089,none
Bombina bombina,OG0000089,increased
Pleurodeles waltl,OG0000089,increased
74,OG0000089,increased
Microcaecilia unicolor,OG0000089,decreased
56,OG0000089,none
Geotrypetes seraphini,OG0000089,increased
66,OG0000089,none
Rhinatrema bivittatum,OG0000089,increased
Aquila chrysaetos,OG0000122,decreased
3,OG0000122,none
Taeniopygia guttata,OG0000122,decreased
7,OG0000122,none
Nipponia nippon,OG0000122,none
11,OG0000122,none
Rissa tridactyla,OG0000122,none
19,OG0000122,none
Cuculus canorus,OG0000122,none
10,OG0000122,none
29,OG0000122,none
Apus apus,OG0000122,none
41,OG0000122,none
Columbalivia,OG0000122,none
Numida meleagris,OG0000122,none
48,OG0000122,decreased
Dromaius novaehollandiae,OG0000122,none
58,OG0000122,none
